title,name,sector,language_req
"Gyros szakács","AKROPOLISZ HUNGARY Kft.",Szakmunka,"Nem igényel nyelvtudást"
"IP VPN Consultant","Deutsche Telekom IT Solutions",Marketing,"Angol középfok"
"Villamosmérnök - energetikus","OPUS TITÁSZ Zrt.",Mérnök,"Angol középfok"
"Minőségellenőr (Kecskeméti szállással)"," ",Fizikai,"Nem igényel nyelvtudást"
Gépkezelő,"TEXOR Kft.",Fizikai,"Nem igényel nyelvtudást"
"Mosodai előkészítő","MÁRVÁNY Farmerkoptató Betéti Társaság",Fizikai,"Nem igényel nyelvtudást"
"CNC gépkezelő (forgácsoló)","EMD Endoszkóp Műszer Gyártó és Kereskedelmi Kft.",Fizikai,"Nem igényel nyelvtudást"
Szakács,"PALLAG SPÁJZ Kft",Szakmunka,"Nem igényel nyelvtudást"
"Mérnök gyakornok/villamosmérnök","MÁV Zrt.",Mérnök,"Nem igényel nyelvtudást"
"Kábel és hálózatszerelő","MÁV Zrt.",Szakmunka,"Nem igényel nyelvtudást"
Gépkezelő,"Daniella Ipari Park Kft.",Fizikai,"Nem igényel nyelvtudást"
"Junior Értékesítő","LEO-NOVA Kft.",Értékesítés,"Nem igényel nyelvtudást"
Futár,"AKROPOLISZ HUNGARY Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Kerékpáros kézbesítő (Komádi)"," ",Fizikai,"Nem igényel nyelvtudást"
Kazánkezelő,"Global Green Europe Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Villanyszerelő/Villanyszerelő segéd","KESELYVILL Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Erőművi diszpécser"," ",Gyártás,"Nem igényel nyelvtudást"
"Öntözési szerviz szerelő","MAGTÁR Termeltető Kereskedelmi Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Betanított munkás","GEOFIX 2000 MÉLYÉPÍTŐ Kft.",Fizikai,"Nem igényel nyelvtudást"
"Betanított munkalehetőség (ingyenes szállással)"," ",Szakmunka,"Nem igényel nyelvtudást"
"Customer Service Representative","NI Hungary Kft.",Ügyfélszolgálat,"Angol felsőfok"
"Minőségellenőr (Debrecen)"," ",Fizikai,"Nem igényel nyelvtudást"
Szakács,"Tiszai Öreghalász Kft",Szakmunka,"Nem igényel nyelvtudást"
"Takarmánykeverős üzemi munkatárs","Hajdúböszörményi Mezőgazdasági Zártkörűen Működő Részvénytársaság",Fizikai,"Nem igényel nyelvtudást"
Csoprtvezető,"Community Business Kft",Értékesítés,"Nem igényel nyelvtudást"
"Kereskedelmi ügyintéző","SolarX Energy Solutions Kft.",Értékesítés,"Nem igényel nyelvtudást"
Termékfelelős,"Cool4U Automotive Kft.",Marketing,"Angol alapfok"
"Nagykereskedelmi értékesítő","SolarX Energy Solutions Kft.",Értékesítés,"Nem igényel nyelvtudást"
"Projekt értékesítő és műszaki szaktanácsadó","BACHL Kft.",Értékesítés,"Nem igényel nyelvtudást"
"Fogászati asszisztens","GREEN-LOGISTIC Kft.",Adminisztráció,"Nem igényel nyelvtudást"
SZERVIZTECHNIKUS,"TRUMPF Hungary Kft.",Szakmunka,"Angol középfok"
"GLP helyszíni vizsgálatvezető","SGS Hungária Kft.",Mérnök,"Angol középfok"
"Létesítmény technikus-Teljes munkaidő","Tesco Global Áruházak Zrt.",Szakmunka,"Nem igényel nyelvtudást"
Borbróker,"Royal Borház Európa Kft.",Értékesítés,"Nem igényel nyelvtudást"
Autóbuszvezető,"BCTC - BUS-CAR-TRUCK CENTER Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Ingatlanközvetítő (Hajdúszoboszló)","OTP Ingatlanpont Kft.",Értékesítés,"Nem igényel nyelvtudást"
"Területi képviselő","REHM HEGESZTÉSTECHNIKA Kft",Értékesítés,"Nem igényel nyelvtudást"
"Pénzszállító / értékcsomagkezelő (Debrecen)","MPT Security Zrt.",Szakmunka,"Nem igényel nyelvtudást"
"Szállítószalag szerelő","ZSONIK Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Full Stack (Python) Fejlesztő - Contracting (JD)"," ","IT Fejlesztés","Angol középfok"
"Fermentációs kutató-fejlesztő",Teva,Mérnök,"Angol középfok"
Otthonszakértő,"Molnár Agency Kft.",Értékesítés,"Nem igényel nyelvtudást"
Rendszergazda/Rendszermérnök,"MOLEHAND KFT.",Mérnök,"Angol középfok"
Oldatkészítő,"Richter Gedeon Nyrt."," ","Nem igényel nyelvtudást"
"Árubeszerző /Raktáros","Best Management Kft.",Szakmunka,"Nem igényel nyelvtudást"
"Junior műszaki menedzser","KITE Zrt.",Mérnök,"Angol alapfok"
"Junior számviteli koordinátor","KITE Zrt.",Pénzügy,"Nem igényel nyelvtudást"
"Junior kereskedelmi termékfelelős","KITE Zrt.",Mérnök,"Angol alapfok"
"Junior elemző (pénzügy, kontrolling, számvitel)","KITE Zrt.",Pénzügy,"Nem igényel nyelvtudást"
"Marketing előadó","KITE Zrt.",Értékesítés,"Angol alapfok"
"Napelem nagyker ügyintéző és ügyfél-kapcsolattartó","Manitu Solar Kft",Értékesítés,"Angol középfok"
Raktáros,"Manitu Solar Kft",Szakmunka,"Angol alapfok"
"Senior Java Developer","TIS Hungary Kft.","IT Fejlesztés","Angol középfok"
"Gépjárművezető III. (Debrecen)"," ",Szakmunka,"Nem igényel nyelvtudást"
