sector,language_req
Szakmunka,"Nem igényel nyelvtudást"
Értékesítés,"Angol felsőfok"
Szakmunka,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Ügyfélszolgálat,"Angol középfok"
Marketing,"Angol középfok"
Marketing,"Angol középfok"
Marketing,"Angol középfok"
Értékesítés,"Angol középfok"
Értékesítés,"Angol középfok"
Mérnök,"Angol középfok"
Mérnök,"Angol középfok"
"IT üzemeltetés","Angol középfok"
Fizikai,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Fizikai,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Fizikai,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Fizikai,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Fizikai,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Mérnök,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Mérnök,"Magyar anyanyelvi szint"
"IT Fejlesztés","Angol felsőfok"
Fizikai,"Nem igényel nyelvtudást"
Értékesítés,"Angol alapfok"
Értékesítés,"Angol középfok"
Fizikai,"Nem igényel nyelvtudást"
Értékesítés,"Nem igényel nyelvtudást"
Építőipar,"Angol középfok"
Ügyfélszolgálat,"Angol felsőfok"
Értékesítés,"Nem igényel nyelvtudást"
"IT Fejlesztés","Angol középfok"
Szakmunka,"Nem igényel nyelvtudást"
Ügyfélszolgálat,"Angol középfok"
Mérnök,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
" ","Angol középfok"
Gyártás,"Angol középfok"
Fizikai,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Ügyfélszolgálat,"Angol középfok"
Értékesítés,"Nem igényel nyelvtudást"
Mérnök,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Mérnök,"Angol középfok"
Szakmunka,"Angol alapfok"
Gyártás,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Ügyfélszolgálat,"Angol középfok"
Ügyfélszolgálat,"Angol középfok"
Adminisztráció,"Angol középfok"
Szállítás,"Nem igényel nyelvtudást"
Mérnök,"Nem igényel nyelvtudást"
Mérnök,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Szakmunka,"Angol alapfok"
Egészségügy,"Angol középfok"
Ügyfélszolgálat,"Angol középfok"
"IT Fejlesztés","Angol középfok"
"IT Fejlesztés","Angol középfok"
Gyártás,"Nem igényel nyelvtudást"
Adminisztráció,"Angol felsőfok"
Szakmunka,"Nem igényel nyelvtudást"
Szakmunka,"Angol alapfok"
Fizikai,"Nem igényel nyelvtudást"
Értékesítés,"Angol középfok"
Szakmunka,"Nem igényel nyelvtudást"
Mérnök,"Angol középfok"
Pénzügy,"Angol középfok"
Ügyfélszolgálat,"Angol felsőfok"
Fizikai,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Fizikai,"Nem igényel nyelvtudást"
Cégvezetés,"Angol középfok"
Értékesítés,"Nem igényel nyelvtudást"
Értékesítés,"Nem igényel nyelvtudást"
Értékesítés,"Nem igényel nyelvtudást"
Mérnök,"Angol alapfok"
Értékesítés,"Angol középfok"
Értékesítés,"Nem igényel nyelvtudást"
Adminisztráció,"Angol középfok"
" ","Angol középfok"
Értékesítés,"Nem igényel nyelvtudást"
Marketing,"Angol alapfok"
Értékesítés,"Nem igényel nyelvtudást"
Pénzügy,"Angol középfok"
Értékesítés,"Nem igényel nyelvtudást"
Adminisztráció,"Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Szakmunka,"Angol középfok"
Mérnök,"Angol középfok"
" ","Nem igényel nyelvtudást"
Szakmunka,"Nem igényel nyelvtudást"
Értékesítés,"Nem igényel nyelvtudást"
