title;name;location;requirements;language_req;sector;salary
Felszolgáló;Kuzama Trade Kft;4024 Debrecen, Piac utca 18.;Legalább 1 éves szakmai tapasztalat,Nyitott, kedves, vendégközpontú mentalitás,Kiváló kommunikációs készség,Pontosság, megbízhatóság, Ápolt megjelenés,Jól terhelhetõ, pörgõs személyiség,Angol nyelvismeret.;Nem igényel nyelvtudást;Szakmunka;Nettó 300e - 350e Ft havi bér
Belsõ értékesítõ (gyógyszeripari és nutraceutikai termékek); ;Országosan bárhonnan végezhetõ;Tapasztalat az értékesítés támogatásában, ügyfélszolgálatban és logisztikában, ideális esetben gyógyszeripari/ nutraceutikai területenFolyékony angol és anyanyelvi szintû magyar nyelvtudásElõnyt jelent a JD Edwards és a Salesforce rendszerekkel kapcsolatos tapasztalatErõs kommunikációs készségMegoldáskeresõ hozzáállás, proaktív megközelítésselMagas fokú ügyfél- és szolgáltatásorientáltságMagas szintû motiváció, rugalmasság és megbízhatóságJó informatikai képességek;Angol felsõfok;Értékesítés;
Gyros szakács;AKROPOLISZ HUNGARY Kft.;Debrecen; ;Nem igényel nyelvtudást;Szakmunka;Bruttó 350e - 450e Ft havi bér
B kategóriás gépjármûvezetõ;Homan Transport Kft.;Országosan bárhonnan végezhetõ;Érvényes B kategóriás jogosítványBelföldi sofõr pozíció esetén Dunaharaszti vagy annak 15km-es körzetében való tartózkodási címMinimum 5 éves vezetési gyakorlat3 hónapnál nem régebbi büntetlen elõéletet igazoló erkölcsi bizonyítványJó megjelenés, ami nem csak a felvételi beszélgetés idejére vonatkozik!Megbízhatóság, pontosság, mert az évek alatt felépített ügyfél bizalom függ ettõl!Rugalmasság, mert a járatokkal folyamatosan az ügyfél igényekhez alkalmazkodunkIdegen nyelvtudás: elsõsorban német nyelv, de az angol is hasznos lehetJó kommunikációs készség, hiszen az utasokat nem csak szállítani kell;Nem igényel nyelvtudást;Szakmunka;
Experienced Communication Specialist - German and English speaking;Deutsche Telekom IT Solutions;Budapest, Debrecen, Szeged, Pécs, Hungary;QualificationsStrong Communication skills, creativity and flexibility to work with the various topics from an communication perspective.Capability to bring people together and get them start working.Advanced English and German communication skillsAbility to handle confidential informationAdvantages:General Communication background with an understanding of Cloud ServicesKnowledge of T-Systems distribution platforms (YAM, Webex, Email etc.)Experience with event organization and moderation.Personality:Experience and capabilities for communication forms and methodsVery good presentation/publication skillsStructured approachIndependent thinkingTeam player attitudeAdditional Information* Please be informed that our remote working possibility is only available within Hungary due to European taxation regulation.;Angol középfok;Ügyfélszolgálat; 
IP VPN Consultant;Deutsche Telekom IT Solutions;Budapest, Debrecen, Pécs, Szeged, Hungary;QualifikationenKenntnis des IP-VPN Produktportfolios der IoT UnitKenntnisse im IP Umfeld (Protokolle, Technologien, Einsatzszenarien, Redundanz)Kenntnisse in Aufbau und Funktion von VPN und IPSecKenntnisse im Bereich Mobilfunknetze (Netzelemente und Übertragungstechnologien 2G/3G/4G/5G/NB-IoT)Erfahrung im Umgang mit Kunden/komplexen KundenprojektenKundenorientiertes Denken und HandelnVerständnis für Einsatzszenarien/Use Cases des Kunden entwickeln und Lösungen präsentierenSales Speak – Erfahrung in der Vermittlung von komplexen Sachverhalten/Produkten an den KundenProzessverständnis für Beauftragung und Einrichtung von Telekommunikationsprodukten für GeschäftskundenBasiskenntnisse Business AnalyticsTeamfähigkeit und selbständige ArbeitsweiseDeutsch (B2/C1) + English (B2/C1)Zusätzliche Informationen* Please be informed that our remote working possibility is only available within Hungary due to European taxation regulation.;Angol középfok;Marketing; 
German Speaking Senior Pricing Manager;Deutsche Telekom IT Solutions;Budapest, Debrecen, Pécs, Szeged, Hungary;QualificationsAt least 4+ years relevant experiences in Pricing ManagementExperience in Assessment of Production CostAdvanced German and good English skillsProficiency in ExcelAutonomyAbility to work in a teamNice to have: SI Digital Business GeneralistsSoftware DevelopmentApplication ManagementDigital Services (Agile, Micro Services)Legacy ServicesAdditional Information* Please be informed that our remote working possibility is only available within Hungary due to European taxation regulation.;Angol középfok;Marketing; 
German Speaking Bid Manager;Deutsche Telekom IT Solutions;Budapest, Debrecen, Pécs, Szeged, Hungary;QualificationsExperience one of Sales related fieldsAdvanced German and English skillsAssertivenessAutonomy and reliabilityAdherence to schedulesStrong communication skillsAdditional Information* Please be informed that our remote working possibility is only available within Hungary due to European taxation regulation.;Angol középfok;Marketing; 
Inside Sales Representative;Deutsche Telekom IT Solutions;Budapest, Debrecen, Pécs, Szeged, Hungary;QualificationsYour profile:Excellent German language (C1+) and English intermediate level skillsHands-on experience with multiple sales techniques - including cold callsExcellent communication and negotiation skillsSolid understanding of SaaS technology and ability to familiarize to Docusign portfolio is a nice-to-haveThis is your role, if…You like to be on the phone and enjoy talking to people and about technical and business solutionsYou want to start in the enterprise (software) salesYou have a quick wittedness, you are persistent and you only hang up after you won the customer for a scheduled meeting.Additional Information* Please be informed that our remote working possibility is only available within Hungary due to European taxation regulation.;Angol középfok;Értékesítés; 
Sales Engineer (HU) Debrecen; ;Debrecen;Minimum Bachelor’s degree (or equivalent)Knowledge of Hungarian at native level + very good English (Business Proficiency)Valid driving licenseWillingness to pursue a long-term career in salesMotivation to learn about high technology and become an industry expertProactive attitude and drive to achieve targets;Angol középfok;Értékesítés;
